2022-05-15 19:05:49 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:358 INFO  LoginPage :58 - Enter Email : primefivetest@yahoo.com[[ChromeDriver: chrome on WINDOWS (f8afaedec3116c024c7757d80b96c293)] -> id: Email]
2022-05-16 00:05:409 INFO  LoginPage :63 - Enter Password : abc123[[ChromeDriver: chrome on WINDOWS (f8afaedec3116c024c7757d80b96c293)] -> name: Password]
2022-05-16 00:05:824 INFO  LoginPage :68 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (f8afaedec3116c024c7757d80b96c293)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 00:05:617 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:417 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4758788e6221e28c1617615ec6adca43)] -> link text: Log in]
2022-05-16 00:05:499 INFO  LoginPage :58 - Enter Email : abcd123@gmail.com[[ChromeDriver: chrome on WINDOWS (4758788e6221e28c1617615ec6adca43)] -> id: Email]
2022-05-16 00:05:573 INFO  LoginPage :63 - Enter Password : xyz123[[ChromeDriver: chrome on WINDOWS (4758788e6221e28c1617615ec6adca43)] -> name: Password]
2022-05-16 00:05:18 INFO  LoginPage :68 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (4758788e6221e28c1617615ec6adca43)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 00:05:30 INFO  LoginPage :72 - Getting error message : [[ChromeDriver: chrome on WINDOWS (4758788e6221e28c1617615ec6adca43)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 00:05:768 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:582 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d4c07025dfae9406f30de4a9964dd098)] -> link text: Log in]
2022-05-16 00:05:663 INFO  LoginPage :58 - Enter Email : xyz123@gmail.com[[ChromeDriver: chrome on WINDOWS (d4c07025dfae9406f30de4a9964dd098)] -> id: Email]
2022-05-16 00:05:737 INFO  LoginPage :63 - Enter Password : abc123[[ChromeDriver: chrome on WINDOWS (d4c07025dfae9406f30de4a9964dd098)] -> name: Password]
2022-05-16 00:05:175 INFO  LoginPage :68 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (d4c07025dfae9406f30de4a9964dd098)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 00:05:193 INFO  LoginPage :72 - Getting error message : [[ChromeDriver: chrome on WINDOWS (d4c07025dfae9406f30de4a9964dd098)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 00:05:958 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:776 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3cca8f643c0b6c1387a2e8e3217a002a)] -> link text: Log in]
2022-05-16 00:05:861 INFO  LoginPage :58 - Enter Email : adfafasd@gmail.com[[ChromeDriver: chrome on WINDOWS (3cca8f643c0b6c1387a2e8e3217a002a)] -> id: Email]
2022-05-16 00:05:938 INFO  LoginPage :63 - Enter Password : xyz123[[ChromeDriver: chrome on WINDOWS (3cca8f643c0b6c1387a2e8e3217a002a)] -> name: Password]
2022-05-16 00:05:394 INFO  LoginPage :68 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (3cca8f643c0b6c1387a2e8e3217a002a)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 00:05:414 INFO  LoginPage :72 - Getting error message : [[ChromeDriver: chrome on WINDOWS (3cca8f643c0b6c1387a2e8e3217a002a)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 00:05:915 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:848 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (0d0dbf4a0077ee38d04d05e92ebafc01)] -> link text: Log in]
2022-05-16 00:05:907 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (0d0dbf4a0077ee38d04d05e92ebafc01)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-16 00:05:672 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:927 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (32d95a18ddf19ea940dc355c0d46d013)] -> link text: Log in]
2022-05-16 00:05:37 INFO  LoginPage :58 - Enter Email : primefivetest@yahoo.com[[ChromeDriver: chrome on WINDOWS (32d95a18ddf19ea940dc355c0d46d013)] -> id: Email]
2022-05-16 00:05:117 INFO  LoginPage :63 - Enter Password : abc123[[ChromeDriver: chrome on WINDOWS (32d95a18ddf19ea940dc355c0d46d013)] -> name: Password]
2022-05-16 00:05:517 INFO  LoginPage :68 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (32d95a18ddf19ea940dc355c0d46d013)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 00:05:277 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:553 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (718f898cb40ae0eab4a58c91299570f0)] -> link text: Log in]
2022-05-16 00:05:645 INFO  LoginPage :58 - Enter Email : abcd123@gmail.com[[ChromeDriver: chrome on WINDOWS (718f898cb40ae0eab4a58c91299570f0)] -> id: Email]
2022-05-16 00:05:699 INFO  LoginPage :63 - Enter Password : xyz123[[ChromeDriver: chrome on WINDOWS (718f898cb40ae0eab4a58c91299570f0)] -> name: Password]
2022-05-16 00:05:81 INFO  LoginPage :68 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (718f898cb40ae0eab4a58c91299570f0)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 00:05:94 INFO  LoginPage :72 - Getting error message : [[ChromeDriver: chrome on WINDOWS (718f898cb40ae0eab4a58c91299570f0)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 00:05:789 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:398 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (78fba5ea61c1612df237d2edb4eb6ce6)] -> link text: Log in]
2022-05-16 00:05:483 INFO  LoginPage :58 - Enter Email : xyz123@gmail.com[[ChromeDriver: chrome on WINDOWS (78fba5ea61c1612df237d2edb4eb6ce6)] -> id: Email]
2022-05-16 00:05:559 INFO  LoginPage :63 - Enter Password : abc123[[ChromeDriver: chrome on WINDOWS (78fba5ea61c1612df237d2edb4eb6ce6)] -> name: Password]
2022-05-16 00:05:988 INFO  LoginPage :68 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (78fba5ea61c1612df237d2edb4eb6ce6)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 00:05:05 INFO  LoginPage :72 - Getting error message : [[ChromeDriver: chrome on WINDOWS (78fba5ea61c1612df237d2edb4eb6ce6)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 00:05:740 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:478 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (32bf7d6d796aeb159571ce1a6266b742)] -> link text: Log in]
2022-05-16 00:05:594 INFO  LoginPage :58 - Enter Email : adfafasd@gmail.com[[ChromeDriver: chrome on WINDOWS (32bf7d6d796aeb159571ce1a6266b742)] -> id: Email]
2022-05-16 00:05:693 INFO  LoginPage :63 - Enter Password : xyz123[[ChromeDriver: chrome on WINDOWS (32bf7d6d796aeb159571ce1a6266b742)] -> name: Password]
2022-05-16 00:05:151 INFO  LoginPage :68 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (32bf7d6d796aeb159571ce1a6266b742)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 00:05:191 INFO  LoginPage :72 - Getting error message : [[ChromeDriver: chrome on WINDOWS (32bf7d6d796aeb159571ce1a6266b742)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 00:05:167 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:270 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:858 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:804 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:483 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:983 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:48 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:669 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:595 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:254 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:475 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:234 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:687 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:150 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:44 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 01:05:651 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 01:05:582 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 01:05:987 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 01:05:484 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 01:05:960 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 01:05:345 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 01:05:682 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 01:05:792 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 01:05:256 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 01:05:255 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:607 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:941 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:410 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:613 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:901 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:298 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:334 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:701 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:02 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:278 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:999 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:714 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:932 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:319 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 02:05:870 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:385 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:181 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:523 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:94 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:743 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:343 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:355 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:287 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:434 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:42 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:331 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:538 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:92 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:323 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:589 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:746 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:548 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:598 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:283 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:229 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:309 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:319 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (43d8636d13ea4be4bc088a370f83c004)] -> link text: Log in]
2022-05-16 20:05:18 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:502 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c2a8ebd93b25869eea78a1a6b0be7c43)] -> link text: Log in]
2022-05-16 20:05:591 INFO  LoginPage :49 - Enter Email : primefivetest@yahoo.com[[ChromeDriver: chrome on WINDOWS (c2a8ebd93b25869eea78a1a6b0be7c43)] -> id: Email]
2022-05-16 20:05:655 INFO  LoginPage :54 - Enter Password : abc123[[ChromeDriver: chrome on WINDOWS (c2a8ebd93b25869eea78a1a6b0be7c43)] -> name: Password]
2022-05-16 20:05:94 INFO  LoginPage :59 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (c2a8ebd93b25869eea78a1a6b0be7c43)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 20:05:766 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:864 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f5ba315d99eacf1d812646cf1750b459)] -> link text: Log in]
2022-05-16 20:05:933 INFO  LoginPage :49 - Enter Email : abcd123@gmail.com[[ChromeDriver: chrome on WINDOWS (f5ba315d99eacf1d812646cf1750b459)] -> id: Email]
2022-05-16 20:05:998 INFO  LoginPage :54 - Enter Password : xyz123[[ChromeDriver: chrome on WINDOWS (f5ba315d99eacf1d812646cf1750b459)] -> name: Password]
2022-05-16 20:05:417 INFO  LoginPage :59 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (f5ba315d99eacf1d812646cf1750b459)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 20:05:430 INFO  LoginPage :63 - Getting error message : [[ChromeDriver: chrome on WINDOWS (f5ba315d99eacf1d812646cf1750b459)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 20:05:53 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:413 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (074681b78bbd189a41b7737d2797e5b9)] -> link text: Log in]
2022-05-16 20:05:525 INFO  LoginPage :49 - Enter Email : xyz123@gmail.com[[ChromeDriver: chrome on WINDOWS (074681b78bbd189a41b7737d2797e5b9)] -> id: Email]
2022-05-16 20:05:632 INFO  LoginPage :54 - Enter Password : abc123[[ChromeDriver: chrome on WINDOWS (074681b78bbd189a41b7737d2797e5b9)] -> name: Password]
2022-05-16 20:05:111 INFO  LoginPage :59 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (074681b78bbd189a41b7737d2797e5b9)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 20:05:132 INFO  LoginPage :63 - Getting error message : [[ChromeDriver: chrome on WINDOWS (074681b78bbd189a41b7737d2797e5b9)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 20:05:807 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:333 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (11e3abfc0b831a9e0783254422d9c649)] -> link text: Log in]
2022-05-16 20:05:445 INFO  LoginPage :49 - Enter Email : adfafasd@gmail.com[[ChromeDriver: chrome on WINDOWS (11e3abfc0b831a9e0783254422d9c649)] -> id: Email]
2022-05-16 20:05:531 INFO  LoginPage :54 - Enter Password : xyz123[[ChromeDriver: chrome on WINDOWS (11e3abfc0b831a9e0783254422d9c649)] -> name: Password]
2022-05-16 20:05:987 INFO  LoginPage :59 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (11e3abfc0b831a9e0783254422d9c649)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 20:05:995 INFO  LoginPage :63 - Getting error message : [[ChromeDriver: chrome on WINDOWS (11e3abfc0b831a9e0783254422d9c649)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 20:05:26 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:921 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (6b431bf1f1213b02ef3af275cd48b39f)] -> link text: Log in]
2022-05-16 20:05:544 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:34 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (785d6e390dd306707419531f850bc12b)] -> link text: Log in]
2022-05-16 20:05:172 INFO  LoginPage :49 - Enter Email : primefivetest@yahoo.com[[ChromeDriver: chrome on WINDOWS (785d6e390dd306707419531f850bc12b)] -> id: Email]
2022-05-16 20:05:242 INFO  LoginPage :54 - Enter Password : abc123[[ChromeDriver: chrome on WINDOWS (785d6e390dd306707419531f850bc12b)] -> name: Password]
2022-05-16 20:05:655 INFO  LoginPage :59 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (785d6e390dd306707419531f850bc12b)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 20:05:326 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:00 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (655a14dd0db752ba01feb4c615172aaa)] -> link text: Log in]
2022-05-16 20:05:133 INFO  LoginPage :49 - Enter Email : abcd123@gmail.com[[ChromeDriver: chrome on WINDOWS (655a14dd0db752ba01feb4c615172aaa)] -> id: Email]
2022-05-16 20:05:231 INFO  LoginPage :54 - Enter Password : xyz123[[ChromeDriver: chrome on WINDOWS (655a14dd0db752ba01feb4c615172aaa)] -> name: Password]
2022-05-16 20:05:721 INFO  LoginPage :59 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (655a14dd0db752ba01feb4c615172aaa)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 20:05:745 INFO  LoginPage :63 - Getting error message : [[ChromeDriver: chrome on WINDOWS (655a14dd0db752ba01feb4c615172aaa)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 20:05:458 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:794 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (981f1b8c83132dffb827d03a3ff6b696)] -> link text: Log in]
2022-05-16 20:05:912 INFO  LoginPage :49 - Enter Email : xyz123@gmail.com[[ChromeDriver: chrome on WINDOWS (981f1b8c83132dffb827d03a3ff6b696)] -> id: Email]
2022-05-16 20:05:04 INFO  LoginPage :54 - Enter Password : abc123[[ChromeDriver: chrome on WINDOWS (981f1b8c83132dffb827d03a3ff6b696)] -> name: Password]
2022-05-16 20:05:466 INFO  LoginPage :59 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (981f1b8c83132dffb827d03a3ff6b696)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 20:05:480 INFO  LoginPage :63 - Getting error message : [[ChromeDriver: chrome on WINDOWS (981f1b8c83132dffb827d03a3ff6b696)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 20:05:124 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 20:05:525 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (90a801eb25d32039f89c7ce929f355f9)] -> link text: Log in]
2022-05-16 20:05:649 INFO  LoginPage :49 - Enter Email : adfafasd@gmail.com[[ChromeDriver: chrome on WINDOWS (90a801eb25d32039f89c7ce929f355f9)] -> id: Email]
2022-05-16 20:05:738 INFO  LoginPage :54 - Enter Password : xyz123[[ChromeDriver: chrome on WINDOWS (90a801eb25d32039f89c7ce929f355f9)] -> name: Password]
2022-05-16 20:05:189 INFO  LoginPage :59 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (90a801eb25d32039f89c7ce929f355f9)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 20:05:212 INFO  LoginPage :63 - Getting error message : [[ChromeDriver: chrome on WINDOWS (90a801eb25d32039f89c7ce929f355f9)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 22:05:672 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 22:05:331 INFO  HomePage :72 - Clicking on Register link : [[ChromeDriver: chrome on WINDOWS (821d359feb5203d840f7ffc8c92d9433)] -> link text: Register]
2022-05-16 22:05:361 INFO  DeskTopPage :92 - Verify Register Page Text : Register[[ChromeDriver: chrome on WINDOWS (821d359feb5203d840f7ffc8c92d9433)] -> xpath: //h1[normalize-space()='Register']]
2022-05-16 22:05:04 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 22:05:987 INFO  HomePage :72 - Clicking on Register link : [[ChromeDriver: chrome on WINDOWS (85abe6c8f17b27527555d0e5ccfb2b99)] -> link text: Register]
2022-05-16 22:05:56 INFO  DeskTopPage :140 - Click Register Button : [[ChromeDriver: chrome on WINDOWS (85abe6c8f17b27527555d0e5ccfb2b99)] -> xpath: //button[@id='register-button']]
2022-05-16 22:05:85 INFO  DeskTopPage :155 - First name error : First name is required[[ChromeDriver: chrome on WINDOWS (85abe6c8f17b27527555d0e5ccfb2b99)] -> xpath: //span[@id='FirstName-error']]
2022-05-16 22:05:94 INFO  DeskTopPage :160 - Last name error : Last name id required[[ChromeDriver: chrome on WINDOWS (85abe6c8f17b27527555d0e5ccfb2b99)] -> xpath: //span[@id='LastName-error']]
2022-05-16 22:05:119 INFO  DeskTopPage :165 - Email error : Email is required[[ChromeDriver: chrome on WINDOWS (85abe6c8f17b27527555d0e5ccfb2b99)] -> xpath: //span[@id='Email-error']]
2022-05-16 22:05:126 INFO  DeskTopPage :170 - Password error : Password is required[[ChromeDriver: chrome on WINDOWS (85abe6c8f17b27527555d0e5ccfb2b99)] -> xpath: //span[@id='Password-error']]
2022-05-16 22:05:142 INFO  DeskTopPage :175 - Confirm password error  : Confirm password is required[[ChromeDriver: chrome on WINDOWS (85abe6c8f17b27527555d0e5ccfb2b99)] -> xpath: //span[@id='ConfirmPassword-error']]
2022-05-16 22:05:766 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 22:05:675 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 22:05:876 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b95242acb817ac79beaaa15b79a65ab3)] -> link text: Log in]
2022-05-16 22:05:542 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 22:05:465 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (fce8ea08c150034ddb44c5caf10c45fc)] -> link text: Log in]
2022-05-16 22:05:526 INFO  LoginPage :49 - Enter Email : primefivetest@yahoo.com[[ChromeDriver: chrome on WINDOWS (fce8ea08c150034ddb44c5caf10c45fc)] -> id: Email]
2022-05-16 22:05:568 INFO  LoginPage :54 - Enter Password : abc123[[ChromeDriver: chrome on WINDOWS (fce8ea08c150034ddb44c5caf10c45fc)] -> name: Password]
2022-05-16 22:05:924 INFO  LoginPage :59 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (fce8ea08c150034ddb44c5caf10c45fc)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 22:05:554 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 22:05:539 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e0642ec6e702afb15baa61388605b32c)] -> link text: Log in]
2022-05-16 22:05:591 INFO  LoginPage :49 - Enter Email : abcd123@gmail.com[[ChromeDriver: chrome on WINDOWS (e0642ec6e702afb15baa61388605b32c)] -> id: Email]
2022-05-16 22:05:636 INFO  LoginPage :54 - Enter Password : xyz123[[ChromeDriver: chrome on WINDOWS (e0642ec6e702afb15baa61388605b32c)] -> name: Password]
2022-05-16 22:05:980 INFO  LoginPage :59 - Click on Login Button : [[ChromeDriver: chrome on WINDOWS (e0642ec6e702afb15baa61388605b32c)] -> xpath: //button[contains(text(),'Log in')]]
